0.7936	0.1891	1
4.5185	4.5185	2
2.2226	0.9081	3
1.0546	0.4079	4
2.3492	2.265	5
2.4824	0.7521	6
1.164	0.3394	7
2.2193	0	8
2.5698	2.1166	9
3.6785	1.5653	10
4.5125	2.1629	11
2.4663	1.5047	12
4.7255	4.7255	13
2.6714	3.7859	14
4.3767	1.3757	15
4.9124	3.7741	16
4.5734	4.5734	17
4.3886	1.5817	18
5	5	19
1.7293	0.1574	20
4.3984	5	21
4.7277	5	22
3.6865	2.955	23
4.1233	2.1445	24
2.8609	0.4358	25
4.3211	0.5256	26
3.1567	3.3438	27
4.4804	3.0722	28
4.8755	1.0403	29
4.6855	1.2781	30
4.9543	3.8016	31
3.2973	2.6549	32
3.061	1.2307	33
3.7473	1.6648	34
3.8079	1.2021	35
3.0281	0.597	36
3.1171	2.1135	37
4.7061	5	38
5	4.0599	39
2.8105	0.1049	40
1.202	0.3774	41
3.8517	2.6502	42
1.328	0.3986	43
3.369	0.6803	44
4.8282	4.8282	45
3.6392	2.4758	46
4.2066	5	47
2.6465	0.0184	48
3.9949	3.2877	49
3.4734	0.541	50
4.1501	2.7309	51
2.2653	0.6963	52
2.3144	0.677	53
2.3749	0.7211	54
0.848	1.0163	55
1.6883	0.3942	56
1.8093	0.974	57
4.2346	2.5229	58
3.5843	2.6672	59
2.1313	0.7929	60
2.592	2.1678	61
2.0619	0.7761	62
4.6753	0.6376	63
1.4812	0.728	64
3.427	1.7356	65
2.348	0.9129	66
3.5221	0.3943	67
2.6338	1.6965	68
5	5	69
1.0082	0.1728	70
2.403	1.2338	71
1.5359	0.3005	72
1.5959	0.2132	73
1.8194	0.0467	74
4.1827	4.319	75
1.2462	0	76
1.105	0.145	77
2.9616	0.1857	78
3.8271	0.2043	79
0.7426	0.2145	80
4.059	5	81
3.0278	0	82
4.1026	4.1026	83
3.6339	0	84
1.6467	1.1246	85
5	0	86
4.0323	0	87
3.5341	1.4404	88
4.6904	0.5593	89
3.5201	0.9395	90
4.0009	1.0782	91
3.0946	3.2906	92
1.955	1.0525	93
1.1135	0.3955	94
4.6359	1.1077	95
4.5734	0	96
1.3247	1.8579	97
1.4184	0.4002	98
4.1612	1.0704	99
1.0135	0.343	100
4.0115	1.959	101
1.2072	0	102
3.1155	1.2799	103
4.5256	3.3852	104
3.6942	2.6983	105
3.59	1.2735	106
4.6023	4.3161	107
2.5341	2.6214	108
3.2352	0.9627	109
3.3381	1.4651	110
4.8552	5	111
2.459	0.8003	112
2.5299	0.1318	113
3.8433	4.1567	114
1.6278	0.1649	115
4.0915	2.5873	116
2.5712	2.065	117
3.2707	0.6625	118
4.1165	3.9105	119
4.0114	1.997	120
1.9234	0.2015	121
0	0	122
3.4456	2.4182	123
2.7905	0.4603	124
4.3027	4.3027	125
3.3242	1.2373	126
4.6591	1.7545	127
2.6715	1.1854	128
3.5253	3.2633	129
3.6164	4.4965	130
2.8229	0.4611	131
2.5114	1.0921	132
1.2051	0	133
1.7915	0.2101	134
4.5823	0.0393	135
4.6185	4.3176	136
3.1595	0.9954	137
2.0317	1.3743	138
1.3941	0.4242	139
2.2554	0.918	140
3.7465	1.6131	141
3.0346	0.1503	142
4.0986	3.9444	143
2.2459	0.9944	144
1.6705	3.0122	145
4.1813	3.4316	146
5	3.369	147
3.4687	0	148
1.6964	1.2682	149
1.8072	0.6384	150
3.3731	0	151
2.2895	0.1849	152
0.7928	0.0835	153
4.3852	0	154
4.3923	1.3227	155
2.3967	0.2654	156
2.6528	1.0235	157
1.6816	0.6792	158
3.7076	2.6623	159
3.2257	0.5925	160
1.373	0.0952	161
3.6887	1.8559	162
1.5692	0.2822	163
3.7347	5	164
2.1569	0.9489	165
2.4906	0.3846	166
2.5617	0.305	167
3.5035	2.8996	168
4.4727	2.2203	169
3.0638	2.6349	170
3.0907	1.4429	171
3.0271	0.6901	172
3.7884	0.0622	173
3.0977	0.0607	174
2.6104	1.1007	175
2.7236	1.9937	176
3.9596	2.8728	177
5	1.7295	178
1.7374	0.5444	179
2.0307	2.7037	180
3.1991	1.8831	181
2.9437	2.3429	182
3.063	1.3434	183
4.4868	5	184
2.3597	1.8589	185
4.3558	2.0228	186
2.9755	0.9616	187
2.9397	1.3087	188
3.0259	1.2632	189
3.9145	3.9145	190
4.3756	3.0798	191
4.2459	1.4781	192
3.4079	3.071	193
2.2736	1.1718	194
3.2506	2.0222	195
2.1615	0.2945	196
2.081	0.4431	197
3.7508	0.1928	198
3.3668	1.141	199
2.0469	2.0467	200
4.3505	0.0398	201
2.3908	0.7948	202
4.7294	4.8686	203
4.71	1.8634	204
3.1218	2.3226	205
1.1917	0.3395	206
1.6075	0.631	207
5	5	208
4.0486	0.7573	209
3.4079	1.2014	210
5	5	211
2.6736	0	212
3.9126	4.3598	213
3.0852	1.605	214
4.5985	2.9507	215
3.7509	0.5298	216
3.3043	0.0697	217
2.0386	1.1249	218
3.0949	1.5853	219
2.37	2.6932	220
4.59	0.7412	221
3.7409	3.697	222
3.2114	0.0885	223
2.3956	0.9658	224
5	5	225
1.9372	0.8903	226
3.849	0.1833	227
2.8163	1.6975	228
0.5469	0.1784	229
1.7793	0.6089	230
3.9867	3.3807	231
3.6787	1.2388	232
4.2471	1.4548	233
4.0523	5	234
5	1.195	235
5	5	236
3.4682	1.3281	237
4.9896	3.1711	238
3.2786	3.2786	239
3.2138	2.0882	240
5	1.5953	241
