[det(dog-2, A-1), nsubj(toy-6, dog-2), cop(toy-6, is-3), case(toy-6, with-4), det(toy-6, a-5), root(ROOT-0, toy-6), punct(toy-6, .-7)] 	[det(dog-2, A-1), nsubj(has-3, dog-2), root(ROOT-0, has-3), det(toy-5, a-4), dobj(has-3, toy-5), punct(has-3, .-6)] 	1
[compound(pet-2, Children-1), root(ROOT-0, pet-2), det(bunny-4, a-3), nmod:npmod(pet-2, bunny-4), punct(pet-2, .-5)] 	[compound(pet-2, Children-1), root(ROOT-0, pet-2), det(dog-4, a-3), nmod:npmod(pet-2, dog-4), punct(pet-2, .-5)] 	2
[nsubj(cook-2, People-1), root(ROOT-0, cook-2), case(grill-5, on-3), det(grill-5, the-4), nmod:on(cook-2, grill-5), punct(cook-2, .-6)] 	[nsubj(stare-2, Pedestrians-1), root(ROOT-0, stare-2), case(amazement-4, in-3), nmod:in(stare-2, amazement-4), mark(cook-8, as-5), nummod(people-7, two-6), nsubj(cook-8, people-7), advcl(amazement-4, cook-8), dobj(cook-8, breast-9), case(grill-12, on-10), det(grill-12, a-11), nmod:on(cook-8, grill-12), punct(stare-2, .-13)] 	3
[det(man-2, The-1), nsubj(builds-3, man-2), root(ROOT-0, builds-3), det(sand-6, a-4), amod(sand-6, small-5), dobj(builds-3, sand-6), dobj(builds-3, castle-7)] 	[det(girl-2, A-1), nsubj(building-4, girl-2), aux(building-4, is-3), root(ROOT-0, building-4), det(castle-7, a-5), compound(castle-7, sand-6), dobj(building-4, castle-7), punct(building-4, .-8)] 	4
[det(man-2, A-1), nsubj(running-4, man-2), aux(running-4, is-3), root(ROOT-0, running-4), case(sled-7, behind-5), det(sled-7, a-6), nmod:behind(running-4, sled-7), acl(sled-7, pulled-8), case(dogs-11, by-9), nummod(dogs-11, four-10), nmod:by(pulled-8, dogs-11), punct(running-4, .-12)] 	[det(man-2, A-1), nsubjpass(pulled-4, man-2), auxpass(pulled-4, being-3), root(ROOT-0, pulled-4), case(sled-8, on-5), det(sled-8, a-6), compound(sled-8, dog-7), nmod:on(pulled-4, sled-8), punct(pulled-4, .-9)] 	5
[det(person-2, A-1), root(ROOT-0, person-2), acl(person-2, doing-3), dobj(doing-3, abseiling-4), punct(person-2, .-5)] 	[det(person-2, A-1), nsubj(abseiling-4, person-2), aux(abseiling-4, is-3), root(ROOT-0, abseiling-4)] 	6
[nsubj(waiting-3, People-1), aux(waiting-3, are-2), root(ROOT-0, waiting-3), case(parts-6, for-4), compound(parts-6, car-5), nmod:for(waiting-3, parts-6), punct(waiting-3, .-7)] 	[nsubj(waiting-3, People-1), aux(waiting-3, are-2), root(ROOT-0, waiting-3), case(car-6, for-4), det(car-6, the-5), nmod:for(waiting-3, car-6), punct(waiting-3, .-7)] 	7
[det(man-2, The-1), nsubjpass(excited-4, man-2), auxpass(excited-4, is-3), root(ROOT-0, excited-4), mark(presentation-10, because-5), nsubj(presentation-10, this-6), cop(presentation-10, is-7), nmod:poss(presentation-10, his-8), amod(presentation-10, first-9), advcl(excited-4, presentation-10), case(company-14, for-11), nmod:poss(company-14, his-12), amod(company-14, new-13), nmod:for(presentation-10, company-14), punct(excited-4, .-15)] 	[det(man-2, A-1), nsubj(playing-4, man-2), aux(playing-4, is-3), root(ROOT-0, playing-4), det(instrument-6, an-5), dobj(playing-4, instrument-6), nsubj(created-8, he-7), acl:relcl(instrument-6, created-8), case(money-10, for-9), nmod:for(created-8, money-10), case(street-13, on-11), det(street-13, the-12), nmod:on(money-10, street-13), punct(playing-4, .-14)] 	8
[det(girl-2, A-1), nsubj(stands-7, girl-2), case(dress-6, in-3), det(dress-6, a-4), amod(dress-6, pink-5), nmod:in(girl-2, dress-6), root(ROOT-0, stands-7), advmod(stands-7, headfirst-8), punct(stands-7, .-9)] 	[det(woman-2, A-1), nsubj(covering-6, woman-2), case(pink-4, in-3), nmod:in(woman-2, pink-4), aux(covering-6, is-5), root(ROOT-0, covering-6), nmod:poss(face-8, her-7), dobj(covering-6, face-8), case(scarf-11, with-9), det(scarf-11, a-10), nmod:with(covering-6, scarf-11), punct(covering-6, .-12)] 	9
[det(man-2, A-1), nsubj(piling-4, man-2), aux(piling-4, is-3), root(ROOT-0, piling-4), dobj(piling-4, groups-5), case(rocks-7, of-6), nmod:of(groups-5, rocks-7), case(sea-10, by-8), det(sea-10, the-9), nmod:by(piling-4, sea-10), punct(piling-4, .-11)] 	[det(band-2, The-1), nsubj(playing-4, band-2), aux(playing-4, is-3), root(ROOT-0, playing-4), case(nightclub-8, inside-5), det(nightclub-8, a-6), amod(nightclub-8, small-7), nmod:inside(playing-4, nightclub-8), punct(playing-4, .-9)] 	10
[det(man-2, A-1), nsubj(standing-8, man-2), acl(man-2, wearing-3), advmod(towel-6, only-4), det(towel-6, a-5), dobj(wearing-3, towel-6), aux(standing-8, is-7), root(ROOT-0, standing-8), advmod(standing-8, outside-9), case(water-12, near-10), det(water-12, the-11), nmod:near(outside-9, water-12), punct(standing-8, .-13)] 	[det(man-2, A-1), nsubj(sitting-4, man-2), aux(sitting-4, is-3), root(ROOT-0, sitting-4), case(fountain-10, in-5), mwe(in-5, front-6), mwe(in-5, of-7), det(fountain-10, a-8), compound(fountain-10, water-9), nmod:in_front_of(sitting-4, fountain-10)] 	11
[det(book-2, The-1), nsubj(Potter-7, book-2), nsubj(read-4, you-3), acl:relcl(book-2, read-4), cop(Potter-7, is-5), compound(Potter-7, Harry-6), root(ROOT-0, Potter-7)] 	[det(man-2, The-1), nsubj(reading-4, man-2), aux(reading-4, is-3), root(ROOT-0, reading-4), det(book-8, a-5), compound(book-8, Harry-6), compound(book-8, Potter-7), dobj(reading-4, book-8), punct(reading-4, .-9)] 	12
