compound	Bush	Mr.
nsubj	discuss	Bush
aux	discuss	did
neg	discuss	not
root	ROOT	discuss
dobj	discuss	this
advmod	issued	when
nsubj	issued	he
advcl	discuss	issued
det	statement	a
amod	statement	brief
dobj	issued	statement
nmod:tmod	issued	yesterday
advcl	issued	thanking
det	commission	the
dobj	thanking	commission
case	work	for
nmod:poss	work	its
nmod:for	thanking	work
punct	discuss	,
cc	discuss	and
conj:and	discuss	saying
punct	saying	,
punct	go	``
nmod:poss	journey	Our
nsubj	go	journey
case	space	into
nmod:into	journey	space
aux	go	will
ccomp	saying	go
compound:prt	go	on
punct	discuss	.
punct	discuss	''
