countries	32.844360679990146
accepted	31.15216554882099
option	30.242959302969496
worse	29.90876902188773
needs	26.47231159592824
comes	25.043413911363544
need	22.420151284735883
provide	19.770071339753954
continue	19.333735249687066
women	11.909920096830572
work	10.296777993157356
have	9.725741225552817
Things	8.7800439408151
distant	8.67103839097994
vital	8.51940978058539
which	8.04923013833887
to	5.20321319149908
no	4.5612800680630565
other	4.320809208551433
when	4.16372823239247
their	3.805365777298172
this	3.7094804559420123
by	3.291686752717375
it	3.0140078568160167
for	2.533621486121498
's	2.4209999352900122
and	1.7976764027280803
.	0.7906729971529243
ROOT	0.6931480444441849
