use	59.38792885761213
Lewinsky	55.402684324262374
entirety	31.624621092359362
repeat	26.20796271827819
distancing	21.257103482218835
have	19.459586546491856
question	18.472297689726247
woman	18.347088677837558
individuals	15.85316117216718
relations	15.58001010215568
Deceptive	13.026447013907788
Miss	8.483152231637785
sexual	7.549983461976278
language	7.0324855866012195
hard	5.894748503440877
...	5.66507158493044
might	5.429552575763245
did	4.46561978547149
''	4.435095382790089
also	4.375597437678877
its	4.18283192172384
:	3.84471189894194
or	3.7851895392968844
I	3.3784970804968744
not	3.3604555189102707
with	2.895425561756158
that	2.389942739731266
in	1.9527554589123621
a	1.7688913319220947
.	0.7826981165216731
ROOT	0.6931471805599453
